,词频,发音,词性,原型
残り香,29,ノコリガ,名詞,残り香
決めつけ,29,キメツケ,動詞,決めつける
食わ,29,クワ,動詞,食う
悔い,29,クイ,名詞,悔い
期限,29,キゲン,名詞,期限
安堵,29,アンド,名詞,安堵
憂,29,ウ,形容詞,憂い
不甲斐ない,29,フガイナイ,形容詞,不甲斐ない
サイズ,29,サイズ,名詞,サイズ
潜む,29,ヒソム,動詞,潜む
おかしな,29,オカシナ,連体詞,おかしな
耳鳴り,29,ミミナリ,名詞,耳鳴り
輩,29,トモガラ,名詞,輩
癒す,29,イヤス,動詞,癒す
気取っ,29,キドッ,動詞,気取る
萎れ,29,シオレ,動詞,萎れる
着信,29,チャクシン,名詞,着信
いで,29,イデ,動詞,いづ
へっ,29,ヘッ,感動詞,へっ
ささ,29,ササ,動詞,さす
おもい,29,オモイ,形容詞,おもい
向ける,29,ムケル,動詞,向ける
魅了,29,ミリョウ,名詞,魅了
咲き誇れ,29,サキホコレ,動詞,咲き誇る
底辺,29,テイヘン,名詞,底辺
転げ,29,コロゲ,動詞,転げる
すい,29,スイ,動詞,すく
ロ,29,ロ,名詞,ロ
絞める,29,シメル,動詞,絞める
うつる,29,ウツル,動詞,うつる
ダイヤル,29,ダイヤル,名詞,ダイヤル
突き刺さる,29,ツキササル,動詞,突き刺さる
だいぶ,29,ダイブ,副詞,だいぶ
伝っ,29,ツタッ,動詞,伝う
絶,29,ゼッ,名詞,絶
上の空,29,ウワノソラ,名詞,上の空
着火,29,チャッカ,名詞,着火
センター,29,センター,名詞,センター
蜘蛛,29,クモ,名詞,蜘蛛
焦げ,29,コゲ,動詞,焦げる
計算,29,ケイサン,名詞,計算
独り言,29,ヒトリゴト,名詞,独り言
入,29,ニュウ,接頭詞,入
金曜日,29,キンヨウビ,名詞,金曜日
待ちぼうけ,29,マチボウケ,名詞,待ちぼうけ
まえる,29,マエル,動詞,まえる
ミラクル,29,ミラクル,名詞,ミラクル
ちと,29,チト,副詞,ちと
ダイヤ,29,ダイヤ,名詞,ダイヤ
健やか,29,スコヤカ,名詞,健やか
雑踏,29,ザットウ,名詞,雑踏
受話器,29,ジュワキ,名詞,受話器
クラ,29,クラ,名詞,クラ
還る,29,カエル,動詞,還る
情けなく,29,ナサケナク,形容詞,情けない
立た,29,タタ,動詞,立つ
くるり,29,クルリ,副詞,くるり
スリー,29,スリー,名詞,スリー
孤,29,コ,名詞,孤
ぽつり,29,ポツリ,副詞,ぽつり
見渡し,29,ミワタシ,動詞,見渡す
追い風,29,オイカゼ,名詞,追い風
叶い,29,カナイ,動詞,叶う
なにもかも,29,ナニモカモ,副詞,なにもかも
怪物,29,カイブツ,名詞,怪物
泳ぎ,29,オヨギ,名詞,泳ぎ
双,29,ソウ,接頭詞,双
熟れ,29,ウレ,動詞,熟れる
雑音,29,ザツオン,名詞,雑音
大阪,29,オオサカ,名詞,大阪
錆びつい,29,サビツイ,動詞,錆びつく
概念,29,ガイネン,名詞,概念
ほっと,29,ホット,副詞,ほっと
毎回,29,マイカイ,名詞,毎回
ウェイ,29,ウェイ,名詞,ウェイ
顔出し,29,カオダシ,名詞,顔出し
前世,29,ゼンセイ,名詞,前世
触ら,29,サワラ,動詞,触る
謳う,29,ウタウ,動詞,謳う
手招き,29,テマネキ,名詞,手招き
知らせ,28,シラセ,動詞,知らせる
きこえる,28,キコエル,動詞,きこえる
かさ,28,カサ,名詞,かさ
ソーダ,28,ソーダ,名詞,ソーダ
だいたい,28,ダイタイ,副詞,だいたい
気取り,28,キドリ,名詞,気取り
おけ,28,オケ,動詞,おく
立ち上がっ,28,タチアガッ,動詞,立ち上がる
コンコン,28,コンコン,副詞,コンコン
脈打つ,28,ミャクウツ,動詞,脈打つ
独りぼっち,28,ヒトリボッチ,名詞,独りぼっち
食べ物,28,タベモノ,名詞,食べ物
総て,28,スベテ,名詞,総て
言い出せ,28,イイダセ,動詞,言い出せる
停止,28,テイシ,名詞,停止
登り,28,ノボリ,動詞,登る
水星,28,スイセイ,名詞,水星
曲がっ,28,マガッ,動詞,曲がる
事件,28,ジケン,名詞,事件
無難,28,ブナン,名詞,無難
キャラ,28,キャラ,名詞,キャラ
争う,28,アラソウ,動詞,争う
普段,28,フダン,名詞,普段
うつ,28,ウツ,名詞,うつ
戦お,28,タタカオ,動詞,戦う
心残り,28,ココロノコリ,名詞,心残り
語ら,28,カタラ,動詞,語る
エイ,28,エイ,感動詞,エイ
幼く,28,オサナク,形容詞,幼い
行き交う,28,イキカウ,動詞,行き交う
こわく,28,コワク,形容詞,こわい
色褪せる,28,イロアセル,動詞,色褪せる
衝撃,28,ショウゲキ,名詞,衝撃
犯し,28,オカシ,動詞,犯す
のま,28,ノマ,動詞,のむ
クリスマス,28,クリスマス,名詞,クリスマス
教わっ,28,オソワッ,動詞,教わる
解れ,28,ホグレ,動詞,解れる
火傷,28,カショウ,名詞,火傷
淘汰,28,トウタ,名詞,淘汰
結ぶ,28,ムスブ,動詞,結ぶ
下手くそ,28,ヘタクソ,名詞,下手くそ
あたらしい,28,アタラシイ,形容詞,あたらしい
ミリ,28,ミリ,名詞,ミリ
黄,28,キ,名詞,黄
真昼,28,マヒル,名詞,真昼
直ぐ,28,スグ,副詞,直ぐ
すみ,28,スミ,動詞,すむ
替え,28,カエ,動詞,替える
眠たい,28,ネムタイ,形容詞,眠たい
芯,28,シン,名詞,芯
回す,28,マワス,動詞,回す
覆っ,28,オオッ,動詞,覆う
浮遊,28,フユウ,名詞,浮遊
分け合う,28,ワケアウ,動詞,分け合う
安らか,28,ヤスラカ,名詞,安らか
取り合っ,28,トリアッ,動詞,取り合う
満天,28,マンテン,名詞,満天
雷,28,カミナリ,名詞,雷
載せ,28,ノセ,動詞,載せる
スタンス,28,スタンス,名詞,スタンス
映り,28,ウツリ,名詞,映り
だらし,28,ダラシ,名詞,だらし
妥協,28,ダキョウ,名詞,妥協
額,28,ガク,名詞,額
かき,28,カキ,動詞,かく
植えよ,28,ウエヨ,動詞,植える
毛,28,モウ,名詞,毛
締め付ける,28,シメツケル,動詞,締め付ける
流る,28,ナガレル,動詞,流る
ちいさな,28,チイサナ,連体詞,ちいさな
大臣,28,ダイジン,名詞,大臣
躍る,28,オドル,動詞,躍る
綻び,28,ホコロビ,動詞,綻びる
機能,28,キノウ,名詞,機能
喜ぶ,28,ヨロコブ,動詞,喜ぶ
寝よ,28,ネヨ,動詞,寝る
出会,28,デアイ,名詞,出会
探り,28,サグリ,動詞,探る
心中,28,シンジュウ,名詞,心中
スーパー,28,スーパー,名詞,スーパー
追,28,ツイ,接頭詞,追
丸い,28,マルイ,形容詞,丸い
通り過ぎる,28,トオリスギル,動詞,通り過ぎる
足早,28,アシバヤ,名詞,足早
羅,28,ラ,名詞,羅
蒼,28,アオイ,名詞,蒼
さけ,28,サケ,名詞,さけ
ポイ,28,ポイ,副詞,ポイ
身分,28,ミブン,名詞,身分
当たる,28,アタル,動詞,当たる
つくっ,28,ツクッ,動詞,つくる
あどけない,28,アドケナイ,形容詞,あどけない
大げさ,28,オオゲサ,名詞,大げさ
汽笛,28,キテキ,名詞,汽笛
よそ見,28,ヨソミ,名詞,よそ見
偶像,28,グウゾウ,名詞,偶像
切り開け,28,キリヒラケ,動詞,切り開ける
成れ,28,ナレ,動詞,成れる
かくし,28,カクシ,動詞,かくす
うんと,28,ウント,フィラー,うんと
野望,28,ヤボウ,名詞,野望
まったく,28,マッタク,副詞,まったく
異,28,イ,接頭詞,異
踊れる,28,オドレル,動詞,踊れる
のばし,28,ノバシ,動詞,のばす
引力,28,インリョク,名詞,引力
黙る,28,ダマル,動詞,黙る
リボン,28,リボン,名詞,リボン
作れ,28,ツクレ,動詞,作れる
虚,28,ウロ,名詞,虚
きい,28,キイ,動詞,きく
爆破,28,バクハ,名詞,爆破
ボーイ,28,ボーイ,名詞,ボーイ
撃ち抜い,28,ウチヌイ,動詞,撃ち抜く
メモ,28,メモ,名詞,メモ
木綿,28,モメン,名詞,木綿
一滴,28,イッテキ,名詞,一滴
読む,28,ヨム,動詞,読む
今にも,28,イマニモ,副詞,今にも
愛憎,28,アイゾウ,名詞,愛憎
鳴り響い,28,ナリヒビイ,動詞,鳴り響く
通し,28,トオシ,動詞,通す
弾く,28,ヒク,動詞,弾く
おいしい,28,オイシイ,形容詞,おいしい
変えよ,28,カエヨ,動詞,変える
安い,28,ヤスイ,形容詞,安い
日暮れ,28,ヒグレ,名詞,日暮れ
鳴,28,ナ,動詞,鳴る
乗れ,28,ノレ,動詞,乗る
イライラ,28,イライラ,副詞,イライラ
摩天楼,28,マテンロウ,名詞,摩天楼
門,28,モン,名詞,門
浴びる,28,アビル,動詞,浴びる
透け,28,スケ,動詞,透ける
握り締め,28,ニギリシメ,動詞,握り締める
あたい,28,アタイ,名詞,あたい
気楽,28,キラク,名詞,気楽
終末,28,シュウマツ,名詞,終末
儀式,28,ギシキ,名詞,儀式
じゃれ,28,ジャレ,動詞,じゃれる
爆弾,28,バクダン,名詞,爆弾
思い切り,28,オモイキリ,副詞,思い切り
あきらめる,27,アキラメル,動詞,あきらめる
観測,27,カンソク,名詞,観測
左様,27,サヨウ,名詞,左様
雲の上,27,クモノウエ,名詞,雲の上
失礼,27,シツレイ,名詞,失礼
とろける,27,トロケル,動詞,とろける
酔いどれ,27,ヨイドレ,名詞,酔いどれ
シワ,27,シワ,名詞,シワ
プレイヤー,27,プレイヤー,名詞,プレイヤー
がた,27,ガタ,形容詞,がたい
おんな,27,オンナ,名詞,おんな
みえる,27,ミエル,動詞,みえる
渡,27,ワタリ,名詞,渡
いたし,27,イタシ,動詞,いたす
獲物,27,エモノ,名詞,獲物
絵の具,27,エノグ,名詞,絵の具
近道,27,チカミチ,名詞,近道
面白く,27,オモシロク,形容詞,面白い
病気,27,ビョウキ,名詞,病気
慌て,27,アワテ,動詞,慌てる
無愛想,27,ブアイソウ,名詞,無愛想
ヨ,27,ヨ,名詞,ヨ
いつのまに,27,イツノマニ,副詞,いつのまに
使,27,シ,名詞,使
オール,27,オール,名詞,オール
蛇,27,ヘビ,名詞,蛇
未完成,27,ミカンセイ,名詞,未完成
徐々に,27,ジョジョニ,副詞,徐々に
貼っ,27,ハッ,動詞,貼る
プロデューサー,27,プロデューサー,名詞,プロデューサー
夕方,27,ユウガタ,名詞,夕方
いて,27,イテ,動詞,いてる
吹き抜け,27,フキヌケ,動詞,吹き抜ける
命令,27,メイレイ,名詞,命令
憧憬,27,ドウケイ,名詞,憧憬
こじ開け,27,コジアケ,動詞,こじ開ける
まぎれ,27,マギレ,動詞,まぎれる
好い,27,ヨイ,形容詞,好い
そのうち,27,ソノウチ,副詞,そのうち
地球儀,27,チキュウギ,名詞,地球儀
喜劇,27,キゲキ,名詞,喜劇
玩具,27,オモチャ,名詞,玩具
謝っ,27,アヤマッ,動詞,謝る
真剣,27,シンケン,名詞,真剣
朱,27,シュ,名詞,朱
トキ,27,トキ,名詞,トキ
刺さ,27,ササ,動詞,刺す
順番,27,ジュンバン,名詞,順番
揺らめく,27,ユラメク,動詞,揺らめく
蔓延る,27,ハビコル,動詞,蔓延る
流行,27,リュウコウ,名詞,流行
掻い,27,カイ,動詞,掻く
日本人,27,ニッポンジン,名詞,日本人
かわし,27,カワシ,動詞,かわす
創る,27,ツクル,動詞,創る
こだま,27,コダマ,名詞,こだま
思い込み,27,オモイコミ,動詞,思い込む
一目,27,ヒトメ,副詞,一目
蝕ん,27,ムシバン,動詞,蝕む
症,27,ショウ,名詞,症
念,27,ネン,名詞,念
立ち尽くし,27,タチツクシ,動詞,立ち尽くす
けっ,27,ケッ,動詞,ける
呆れる,27,アキレル,動詞,呆れる
テレパシー,27,テレパシー,名詞,テレパシー
ほとんど,27,ホトンド,副詞,ほとんど
鈍く,27,ニブク,形容詞,鈍い
しんどい,27,シンドイ,形容詞,しんどい
終る,27,オワル,動詞,終る
ほろ苦い,27,ホロニガイ,形容詞,ほろ苦い
殴っ,27,ナグッ,動詞,殴る
帰,27,キ,名詞,帰
放,27,ホウ,動詞,放る
学び,27,マナビ,動詞,学ぶ
浮気,27,ウワキ,名詞,浮気
誓,27,チカイ,名詞,誓
１つ,27,ヒトツ,名詞,１つ
放ち,27,ハナチ,動詞,放つ
見事,27,ミゴト,名詞,見事
脈,27,ミャク,名詞,脈
さすが,27,サスガ,副詞,さすが
証拠,27,ショウコ,名詞,証拠
かかえ,27,カカエ,動詞,かかえる
落下,27,ラッカ,名詞,落下
楽しめ,27,タノシメ,動詞,楽しめる
描か,27,エガカ,動詞,描く
うに,27,ウニ,名詞,うに
スリル,27,スリル,名詞,スリル
一起,27,カズキ,名詞,一起
調和,27,チョウワ,名詞,調和
ちまえ,27,チマエ,動詞,ちまう
目指せ,27,メザセ,動詞,目指す
ぽっかり,27,ポッカリ,副詞,ぽっかり
最中,27,サイチュウ,名詞,最中
条件,27,ジョウケン,名詞,条件
時期,27,ジキ,名詞,時期
大した,27,タイシタ,連体詞,大した
かす,27,カス,名詞,かす
映,27,ウツ,動詞,映る
片っ端,27,カタッパシ,名詞,片っ端
咲か,27,サカ,動詞,咲く
凄い,27,スゴイ,形容詞,凄い
貢献,27,コウケン,名詞,貢献
あずけ,27,アズケ,動詞,あずける
定義,27,テイギ,名詞,定義
ためらい,27,タメライ,動詞,ためらう
枯葉,27,カレハ,名詞,枯葉
流れ出す,27,ナガレダス,動詞,流れ出す
地方,27,チホウ,名詞,地方
水色,27,ミズイロ,名詞,水色
つめたい,27,ツメタイ,形容詞,つめたい
きゅう,27,キュウ,名詞,きゅう
思い返し,27,オモイカエシ,動詞,思い返す
倒し,27,タオシ,動詞,倒す
煌めき,27,キラメキ,動詞,煌めく
巨大,27,キョダイ,名詞,巨大
蒼く,27,アオク,形容詞,蒼い
振る舞い,27,フルマイ,名詞,振る舞い
いなん,27,イナン,動詞,いなむ
あせ,27,アセ,動詞,あせる
ともに,27,トモニ,副詞,ともに
道標,27,ドウヒョウ,名詞,道標
禊,27,ミソギ,名詞,禊
狂い咲き,27,クルイザキ,名詞,狂い咲き
動物,27,ドウブツ,名詞,動物
目印,27,メジルシ,名詞,目印
ジャック,27,ジャック,名詞,ジャック
巡り会う,27,メグリアウ,動詞,巡り会う
聴く,27,キク,動詞,聴く
出かけよ,27,デカケヨ,動詞,出かける
食らっ,27,クラッ,動詞,食らう
化け物,27,バケモノ,名詞,化け物
見つけ出し,27,ミツケダシ,動詞,見つけ出す
現代,27,ゲンダイ,名詞,現代
積もる,27,ツモル,動詞,積もる
思惑,26,オモワク,名詞,思惑
平行,26,ヘイコウ,名詞,平行
下がっ,26,サガッ,動詞,下がる
外側,26,ソトガワ,名詞,外側
馳せる,26,ハセル,動詞,馳せる
転がる,26,コロガル,動詞,転がる
いびつ,26,イビツ,名詞,いびつ
払っ,26,ハラッ,動詞,払う
浮つい,26,ウワツイ,動詞,浮つく
揺るぎない,26,ユルギナイ,形容詞,揺るぎない
何事,26,ナニゴト,名詞,何事
しっ,26,シッ,動詞,しる
強がら,26,ツヨガラ,動詞,強がる
愛そ,26,アイソ,動詞,愛す
てろ,26,テロ,動詞,てる
動き出せ,26,ウゴキダセ,動詞,動き出す
臭い,26,クサイ,形容詞,臭い
怖がる,26,コワガル,動詞,怖がる
転がり,26,コロガリ,動詞,転がる
はかなく,26,ハカナク,形容詞,はかない
信用,26,シンヨウ,名詞,信用
軽やか,26,カロヤカ,名詞,軽やか
やりとり,26,ヤリトリ,名詞,やりとり
破っ,26,ヤブッ,動詞,破る
る,26,ル,動詞,る
曇っ,26,クモッ,動詞,曇る
おでこ,26,オデコ,名詞,おでこ
曲げ,26,マゲ,動詞,曲げる
押さえ,26,オサエ,動詞,押さえる
くす,26,クス,形容詞,くすい
バランス,26,バランス,名詞,バランス
撃ち,26,ウチ,動詞,撃つ
逆転,26,ギャクテン,名詞,逆転
最前線,26,サイゼンセン,名詞,最前線
塊,26,カタマリ,名詞,塊
月曜日,26,ゲツヨウビ,名詞,月曜日
つばさ,26,ツバサ,名詞,つばさ
日曜,26,ニチヨウ,名詞,日曜
応える,26,コタエル,動詞,応える
救える,26,スクエル,動詞,救える
仲良し,26,ナカヨシ,名詞,仲良し
繋が,26,ツナガ,動詞,繋ぐ
ハイハイ,26,ハイハイ,名詞,ハイハイ
綴る,26,ツヅル,動詞,綴る
屍,26,カバネ,名詞,屍
思いきり,26,オモイキリ,名詞,思いきり
つつむ,26,ツツム,動詞,つつむ
サビ,26,サビ,名詞,サビ
告,26,ツゲ,名詞,告
腐る,26,クサル,動詞,腐る
夕凪,26,ユウナギ,名詞,夕凪
見飽き,26,ミアキ,動詞,見飽きる
ボケ,26,ボケ,名詞,ボケ
みん,26,ミン,動詞,みる
業務,26,ギョウム,名詞,業務
関心,26,カンシン,名詞,関心
別れる,26,ワカレル,動詞,別れる
碧,26,ヘキ,名詞,碧
脱ぎ,26,ヌギ,動詞,脱ぐ
ミッドナイト,26,ミッドナイト,名詞,ミッドナイト
さっ,26,サッ,動詞,さる
薄く,26,ウスク,形容詞,薄い
笑い転げ,26,ワライコロゲ,動詞,笑い転げる
七つの海,26,ナナツノウミ,名詞,七つの海
乗っかっ,26,ノッカッ,動詞,乗っかる
歪む,26,イガム,動詞,歪む
浜辺,26,ハマベ,名詞,浜辺
何とか,26,ナントカ,副詞,何とか
おし,26,オシ,名詞,おし
居れ,26,イレ,動詞,居る
見開い,26,ミヒライ,動詞,見開く
露,26,アラワ,名詞,露
参り,26,マイリ,動詞,参る
乱れる,26,ミダレル,動詞,乱れる
向日葵,26,ヒマワリ,名詞,向日葵
オーバー,26,オーバー,名詞,オーバー
不快,26,フカイ,名詞,不快
腐敗,26,フハイ,名詞,腐敗
キー,26,キー,名詞,キー
喜怒哀楽,26,キドアイラク,名詞,喜怒哀楽
一旦,26,イッタン,副詞,一旦
積み重ね,26,ツミカサネ,動詞,積み重ねる
戦え,26,タタカエ,動詞,戦える
化粧,26,ケショウ,名詞,化粧
崩れる,26,クズレル,動詞,崩れる
さして,26,サシテ,副詞,さして
一片,26,イッペン,名詞,一片
はて,26,ハテ,副詞,はて
岩,26,イワ,名詞,岩
授業,26,ジュギョウ,名詞,授業
救済,26,キュウサイ,名詞,救済
覚える,26,オボエル,動詞,覚える
無事,26,ブジ,名詞,無事
払う,26,ハラウ,動詞,払う
間違う,26,マチガウ,動詞,間違う
安寧,26,アンネイ,名詞,安寧
つかみ,26,ツカミ,動詞,つかむ
透き通る,26,スキトオル,動詞,透き通る
地平,26,チヘイ,名詞,地平
変わん,26,カワン,動詞,変わる
